qb_name,draft_year,draft_round,draft_pick,college,col_conference,recruit_stars,recruit_rating,composite_nfl_score,recruit_rating_scaled,recruit_bias,norm_nfl_ontgt_pct,norm_nfl_badth_pct,norm_nfl_cmp_pct,norm_nfl_any_a,norm_nfl_rate,norm_nfl_qbr,norm_nfl_td_pct,norm_nfl_int_pct,norm_nfl_prss_pct
Ryan Finley,2019,4,104,North Carolina St.,ACC,,,19.95832953990675,,,0.20054255436747326,0.282143841236562,0.0,0.17599092264370295,0.2146267240725146,0.2327497425334707,0.29994033649226265,0.4065273801392548,0.0
Gardner Minshew II,2019,6,178,Washington St.,PAC,3.0,0.8089,67.32871200296881,80.89,13.561287997031187,0.7317234438428479,0.5580047707119766,0.6706878212863554,0.6801786794382096,0.7237655802466179,0.4613800205973223,0.6102968316721495,0.9381843624154158,0.7435082449325159
Joe Burrow,2020,1,1,LSU,SEC,4.0,0.9003,84.13741566164533,90.03,5.892584338354666,0.9999999999999996,1.0,0.9226635420829798,0.7352439551358385,0.830718539683766,0.6683831101956746,0.6670577514337191,0.7616123610176286,0.6287917704981172
Tua Tagovailoa,2020,1,5,Alabama,SEC,5.0,0.9843,71.7229318110469,98.42999999999999,26.707068188953087,0.8873150499110731,0.6387869453691679,0.8300625211311239,0.5841342838903565,0.6586605730055997,0.5839340885684862,0.5102956886247237,0.716038893608987,0.8977758583150731
Justin Herbert,2020,1,6,Oregon,PAC,3.0,0.8614,80.23897925207709,86.14,5.901020747922914,0.9399844656227541,0.731934889178546,0.8305995758816227,0.7547657529298952,0.7970529066055452,0.9237899073120494,0.7259883018180936,0.78267051159084,0.6534771603074079
Jalen Hurts,2020,2,53,Oklahoma,B12,4.0,0.9262,59.90874724714932,92.62,32.71125275285068,0.6718776982071204,0.6563793148151349,0.4843363236210858,0.6738324642060012,0.5972562066746163,0.45932028836251293,0.4858003020590445,0.7058890549061351,0.5843891057377235
Trevor Lawrence,2021,1,1,Clemson,ACC,5.0,0.9999,62.57363502293936,99.99,37.41636497706064,0.6678567491782199,0.6091525848250212,0.6727065333371809,0.5777776372062253,0.5764608961592892,0.529351184346035,0.38910802124574634,0.7438862789054277,0.816305541763049
Zach Wilson,2021,1,2,BYU,Ind,3.0,0.854,33.60230634984396,85.39999999999999,51.797693650156035,0.4033822296713896,0.1424451419978221,0.30637244627965377,0.4025107394045061,0.3881185177277371,0.2893923789907312,0.2800557524210349,0.5333710941187577,0.41960333481138457
Trey Lance,2021,1,3,North Dakota St.,,3.0,0.8104,47.50820703707132,81.04,33.531792962928684,0.49857883221346855,0.22460186237736401,0.2921199116080544,0.7536589080263429,0.5926321250844768,0.3305870236869207,0.6403987567839758,0.5276190529076733,0.7340066861800657
Justin Fields,2021,1,11,Ohio St.,B1G,5.0,0.9998,47.83285573575638,99.98,52.14714426424362,0.5549463805025279,0.42094310456798123,0.5215302655691239,0.4151125036155928,0.5208410726332191,0.4521112255406796,0.5230801092905631,0.3488682360511467,0.5066908939860781
