qb_name,draft_year,draft_round,draft_pick,nfl_team,college,nfl_g,nfl_gs,nfl_cmp,nfl_att,nfl_yds,nfl_td,nfl_int,nfl_sk,nfl_iay,nfl_cay,nfl_yac,nfl_bats,nfl_thawy,nfl_spikes,nfl_drops,nfl_badth,nfl_ontgt,nfl_bltz,nfl_hrry,nfl_hits,nfl_prss,nfl_scrm,nfl_rpo_plays,nfl_rpo_yds,nfl_rpo_passatt,nfl_rpo_passyds,nfl_rpo_rushatt,nfl_rpo_rushyds,nfl_pa_passatt,nfl_pa_passyds,nfl_cmp_pct,nfl_td_pct,nfl_int_pct,nfl_y_a,nfl_ay_a,nfl_ny_a,nfl_any_a,nfl_rate,nfl_sk_pct,nfl_iay_per_att,nfl_cay_per_cmp,nfl_cay_per_att,nfl_yac_per_cmp,nfl_drop_pct,nfl_badth_pct,nfl_ontgt_pct,nfl_pkttime,nfl_prss_pct,nfl_yds_per_scr,nfl_qbr,nfl_seasons_found,nfl_seasons,has_advanced_stats,nfl_rush_att_x,nfl_rush_yds_x,nfl_rush_1d_x,nfl_rush_ybc_x,nfl_rush_yac_x,nfl_rush_brk_tkl_x,nfl_rush_ybc_per_att_x,nfl_rush_yac_per_att_x,nfl_rush_att_per_brk_x,nfl_rush_yds_per_att_x,nfl_rush_seasons_found_x,nfl_rush_att_y,nfl_rush_yds_y,nfl_rush_1d_y,nfl_rush_ybc_y,nfl_rush_yac_y,nfl_rush_brk_tkl_y,nfl_rush_ybc_per_att_y,nfl_rush_yac_per_att_y,nfl_rush_att_per_brk_y,nfl_rush_yds_per_att_y,nfl_rush_seasons_found_y
Ryan Finley,2019,4,104,CIN,North Carolina St.,16.0,8.0,116.0,238.0,638.0,3.0,4.0,20.0,1056.0,364.0,274.0,2.0,3.0,0.0,5.0,26.0,76.0,58.0,22.0,15.0,57.0,8.0,8.0,37.0,2.0,0.0,6.0,37.0,15.0,131.0,48.713445378151256,2.515126050420168,3.3756302521008403,5.319327731092437,4.36218487394958,3.5054621848739496,2.700840336134454,59.410924369747896,14.105378151260505,8.89159663865546,6.304201680672269,3.046218487394958,4.784873949579832,4.3428571428571425,22.41176470588235,65.42268907563026,2.592436974789916,38.531092436974795,11.5,33.2,4,"2019,2019,2020,2020",True,21.0,143.0,8.0,126.0,17.0,0.0,5.9904761904761905,0.819047619047619,0.0,6.81,2,21.0,143.0,8.0,126.0,17.0,0.0,5.9904761904761905,0.819047619047619,0.0,6.81,2
Gardner Minshew II,2019,6,178,JAX,Washington St.,46.0,40.0,1002.0,1594.0,5530.0,37.0,11.0,60.0,5904.0,2930.0,2600.0,12.0,33.0,2.0,34.0,142.0,570.0,237.0,93.0,49.0,202.0,73.0,37.0,328.0,30.0,321.0,5.0,7.0,105.0,1021.0,62.856587202007525,4.664115432873275,1.3820577164366374,6.9589711417816815,7.25897114178168,6.070250941028858,6.3179422835633625,93.12835633626098,6.999008782936009,7.387202007528232,5.858971141781682,3.6820577164366375,5.230740276035132,4.438393977415307,18.6,74.78983688833124,2.4,21.733375156838143,6.894855708908406,44.3,4,"2019,2019,2020,2020",True,96.0,497.0,30.0,405.0,92.0,2.0,4.192708333333333,0.9375,23.380208333333332,5.18,2,96.0,497.0,30.0,405.0,92.0,2.0,4.192708333333333,0.9375000000000001,23.380208333333332,5.18,2
Joe Burrow,2020,1,1,CIN,LSU,52.0,52.0,1260.0,1848.0,7299.0,47.0,19.0,83.0,7630.0,3882.0,3417.0,12.0,20.0,5.0,42.0,112.0,715.0,263.0,76.0,95.0,254.0,37.0,61.0,353.0,54.0,337.0,3.0,16.0,153.0,1310.0,68.17012987012987,5.057142857142857,2.0441558441558443,7.938095238095238,7.994372294372295,6.647359307359308,6.712987012987013,100.2112554112554,8.234805194805194,8.274891774891774,6.181385281385282,4.193939393939393,5.369264069264069,4.631168831168831,12.492640692640691,79.52077922077922,2.356277056277056,24.325108225108227,5.312554112554113,54.35,4,"2020,2020,2021,2021",True,77.0,260.0,34.0,203.0,57.0,5.0,2.628571428571429,0.7558441558441559,16.299999999999997,3.38,2,77.0,260.0,34.0,203.0,57.0,5.0,2.6285714285714286,0.7558441558441559,16.299999999999997,3.38,2
Tua Tagovailoa,2020,1,5,MIA,Alabama,46.0,42.0,898.0,1356.0,4467.0,27.0,15.0,40.0,4897.0,2484.0,1983.0,3.0,11.0,4.0,29.0,116.0,514.0,216.0,59.0,38.0,137.0,34.0,126.0,1066.0,118.0,1042.0,8.0,24.0,194.0,1456.0,66.21740412979351,3.971681415929204,2.215044247787611,6.586135693215339,6.371681415929204,5.8220353982300885,5.628908554572272,88.81681415929202,5.562979351032448,7.213864306784661,5.542772861356932,3.657227138643069,4.38613569321534,4.4144542772861355,17.48377581120944,77.53362831858408,2.242772861356932,18.24808259587021,6.429498525073748,50.25,4,"2020,2020,2021,2021",True,78.0,237.0,26.0,172.0,65.0,0.0,2.2,0.8538461538461539,0.0,3.04,2,78.0,237.0,26.0,172.0,65.0,0.0,2.2,0.8538461538461539,0.0,3.04,2
Justin Herbert,2020,1,6,LAC,Oregon,64.0,64.0,1678.0,2534.0,9350.0,69.0,25.0,63.0,9453.0,4748.0,4602.0,24.0,21.0,5.0,61.0,201.0,974.0,325.0,136.0,131.0,330.0,61.0,86.0,712.0,66.0,599.0,16.0,113.0,293.0,2655.0,66.22872928176795,5.465193370165745,1.965193370165746,7.406077348066298,7.6,6.707900552486188,6.853038674033149,97.98176795580112,4.734033149171271,7.506077348066299,5.665193370165746,3.759116022099447,5.493922651933702,4.9077348066298345,16.196685082872925,78.46243093922652,2.4000000000000004,23.767403314917125,6.766850828729281,66.75,4,"2020,2020,2021,2021",True,118.0,536.0,48.0,431.0,105.0,4.0,3.6271186440677967,0.8932203389830509,29.635593220338983,4.54,2,118.0,536.0,48.0,431.0,105.0,4.0,3.6271186440677967,0.8932203389830509,29.635593220338983,4.54,2
Jalen Hurts,2020,2,53,PHI,Oklahoma,60.0,38.0,684.0,1160.0,4205.0,22.0,13.0,39.0,5213.0,2274.0,1931.0,16.0,34.0,3.0,26.0,93.0,401.0,179.0,92.0,44.0,175.0,74.0,194.0,1516.0,110.0,1017.0,74.0,499.0,130.0,1230.0,58.926896551724134,3.802068965517241,2.2531034482758625,7.27448275862069,7.023448275862068,6.458344827586207,6.272413793103448,84.7503448275862,6.289862068965517,8.95103448275862,6.657241379310345,3.9255172413793105,5.653103448275862,4.7875862068965525,17.240689655172414,73.73448275862069,2.523448275862069,25.328275862068963,7.942758620689656,44.2,4,"2020,2020,2021,2021",True,202.0,1138.0,82.0,927.0,211.0,13.0,4.568811881188119,1.0311881188118812,15.524752475247524,5.63,2,202.0,1138.0,82.0,927.0,211.0,13.0,4.568811881188119,1.0311881188118812,15.524752475247524,5.63,2
Trevor Lawrence,2021,1,1,JAX,Clemson,68.0,68.0,1492.0,2372.0,7754.0,37.0,25.0,59.0,9073.0,4115.0,3639.0,25.0,34.0,5.0,73.0,205.0,845.0,305.0,112.0,91.0,262.0,57.0,138.0,976.0,108.0,884.0,22.0,92.0,264.0,2278.0,62.89915682967959,3.1325463743676223,2.1106239460370992,6.492411467116358,6.234064080944351,5.8919561551433395,5.583305227655987,83.37318718381114,4.739780775716694,7.653794266441823,5.5507588532883645,3.447723440134907,4.895446880269814,6.3893760539629,17.893254637436762,73.66357504215851,2.3015177065767287,20.08870151770658,8.186340640809444,47.6,4,"2021,2021,2022,2022",True,135.0,625.0,49.0,522.0,103.0,5.0,3.883703703703703,0.7622222222222222,29.2437037037037,4.63,2,135.0,625.0,49.0,522.0,103.0,5.0,3.8837037037037034,0.7622222222222222,29.2437037037037,4.63,2
Zach Wilson,2021,1,2,NYJ,BYU,44.0,44.0,690.0,1250.0,4022.0,15.0,18.0,67.0,5080.0,2123.0,1899.0,10.0,36.0,1.0,36.0,143.0,406.0,221.0,102.0,41.0,210.0,30.0,53.0,302.0,46.0,296.0,2.0,6.0,135.0,843.0,55.17408,2.37744,2.9,6.44848,5.64848,5.029792,4.32592,70.90032,9.672736,8.142079999999998,6.14848,3.4161599999999996,5.4872,6.10304,24.34208,68.99968,2.5,29.0512,9.3384,35.95,4,"2021,2021,2022,2022",True,57.0,287.0,17.0,222.0,65.0,1.0,3.907017543859649,1.117543859649123,14.75438596491228,5.04,2,57.0,287.0,17.0,222.0,65.0,1.0,3.907017543859649,1.117543859649123,14.75438596491228,5.04,2
Trey Lance,2021,1,3,SFO,North Dakota St.,16.0,8.0,112.0,204.0,797.0,5.0,3.0,6.0,865.0,429.0,368.0,5.0,3.0,0.0,6.0,23.0,70.0,25.0,12.0,9.0,27.0,15.0,22.0,178.0,11.0,145.0,11.0,33.0,26.0,222.0,54.8735294117647,4.872549019607843,2.92156862745098,7.831372549019608,7.4450980392156865,7.162254901960784,6.845098039215687,84.44411764705882,5.551862745098039,8.50980392156863,7.669607843137255,4.1872549019607845,6.4833333333333325,6.0323529411764705,23.20686274509804,70.67843137254903,2.56078431372549,21.948039215686276,7.223529411764705,37.95,4,"2021,2021,2022,2022",True,54.0,235.0,15.0,164.0,71.0,2.0,3.0296296296296297,1.3111111111111111,2.3703703703703702,4.35,2,54.0,235.0,15.0,164.0,71.0,2.0,3.0296296296296297,1.3111111111111111,2.3703703703703702,4.35,2
Justin Fields,2021,1,11,CHI,Ohio St.,54.0,50.0,702.0,1176.0,4112.0,24.0,21.0,91.0,5540.0,2463.0,1649.0,15.0,21.0,2.0,34.0,116.0,405.0,198.0,62.0,62.0,215.0,115.0,112.0,612.0,69.0,443.0,36.0,169.0,131.0,1172.0,59.71122448979591,4.060204081632652,3.5918367346938775,7.008163265306121,6.2326530612244895,5.141836734693877,4.4163265306122454,79.68979591836735,13.37704081632653,9.42142857142857,7.021428571428572,4.183673469387755,4.724489795918367,5.9806122448979595,20.49387755102041,71.67244897959182,2.608163265306122,27.083673469387755,8.9734693877551,43.849999999999994,4,"2021,2021,2022,2022",True,232.0,1563.0,87.0,1149.0,414.0,15.0,4.996551724137931,1.8,15.50344827586207,6.74,2,232.0,1563.0,87.0,1149.0,414.0,15.0,4.996551724137931,1.8,15.50344827586207,6.74,2
